2021-02-26T16:04:12.148Z [AUDIT] Token created by 'anonymous': tokenId='06b58867-4135-4c18-af32-837f949ff034', issuer='jfrou@01ezfhae126pz9nynx26bydx0c', subject='jfrou@01ezfhae126pz9nynx26bydx0c', expiry=none, refreshable=false
2021-02-26T16:04:15.980Z [AUDIT] Token created by 'anonymous': tokenId='0ca8e76a-f247-4302-9348-1114e81c7171', issuer='jfac@01ezfha4frb4q00nh5xqp613j2', subject='jfac@01ezfha4frb4q00nh5xqp613j2', expiry=1614355575971, refreshable=false
2021-02-26T16:04:16.127Z [AUDIT] Token created by 'anonymous': tokenId='77723761-f3f4-406f-98bc-f9d6b1800237', issuer='jfac@01ezfha4frb4q00nh5xqp613j2', subject='jfac@01ezfha4frb4q00nh5xqp613j2', expiry=1614355576122, refreshable=false
2021-02-26T16:04:16.362Z [AUDIT] Token created by 'anonymous': tokenId='b0cf2ca6-bcbe-49a1-9d83-b7fc46751daa', issuer='jfac@01ezfha4frb4q00nh5xqp613j2', subject='jfac@01ezfha4frb4q00nh5xqp613j2', expiry=1614355576359, refreshable=false
2021-02-26T16:04:16.778Z [AUDIT] Token created by 'anonymous': tokenId='c38ad104-6d73-476f-9152-7d4356e8eb59', issuer='jfac@01ezfha4frb4q00nh5xqp613j2', subject='jfac@01ezfha4frb4q00nh5xqp613j2', expiry=1614355576776, refreshable=false
2021-02-26T16:04:17.381Z [AUDIT] Token created by 'anonymous': tokenId='b03c0d95-4d86-4eed-b4e6-46634ff6519b', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=none, refreshable=false
2021-02-26T16:04:17.493Z [AUDIT] Token created by 'anonymous': tokenId='31ddfdce-39db-45a9-b630-d2de44a961f7', issuer='jfmd@01ezfhaehakhc23s8yknmdceje', subject='jfmd@01ezfhaehakhc23s8yknmdceje', expiry=none, refreshable=false
2021-02-26T16:04:17.608Z [AUDIT] Token created by 'anonymous': tokenId='a92f5f0c-7545-4eac-942b-21114254c152', issuer='jfac@01ezfha4frb4q00nh5xqp613j2', subject='jfac@01ezfha4frb4q00nh5xqp613j2', expiry=1614355577599, refreshable=false
2021-02-26T16:04:17.893Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='cdc9a17a-8229-428f-a4f4-dab9b0c2c78c', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614441857886, refreshable=true
2021-02-26T16:04:17.902Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='bfeb9212-a6d2-4a00-b01a-a5c21dcb07c2', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614441857894, refreshable=true
2021-02-26T16:04:17.921Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='4323e249-e902-41f8-953e-7b39720d4f01', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614441857887, refreshable=true
